ल	0x932	devanagari_letter_la	ল	0x9b2	bengali_letter_la	ਲ	0xa32	gurmukhi_letter_la	લ	0xab2	gujarati_letter_la	ଲ	0xb32	oriya_letter_la	ல	0xbb2	tamil_letter_la	ల	0xc32	telugu_letter_la	ಲ	0xcb2	kannada_letter_la	ല	0xd32	malayalam_letter_la	඲	0xdb2	False	
ळ	0x933	devanagari_letter_lla	঳	0x9b3	False	ਲ਼	0xa33	gurmukhi_letter_lla	ળ	0xab3	gujarati_letter_lla	ଳ	0xb33	oriya_letter_lla	ள	0xbb3	tamil_letter_lla	ళ	0xc33	telugu_letter_lla	ಳ	0xcb3	kannada_letter_lla	ള	0xd33	malayalam_letter_lla	ඳ	0xdb3	sinhala_letter_sanyaka_dayanna	
ऴ	0x934	devanagari_letter_llla	঴	0x9b4	False	਴	0xa34	False	઴	0xab4	False	଴	0xb34	False	ழ	0xbb4	tamil_letter_llla	ఴ	0xc34	telugu_letter_llla	಴	0xcb4	False	ഴ	0xd34	malayalam_letter_llla	ප	0xdb4	sinhala_letter_alpapraana_payanna	
व	0x935	devanagari_letter_va	঵	0x9b5	False	ਵ	0xa35	gurmukhi_letter_va	વ	0xab5	gujarati_letter_va	ଵ	0xb35	oriya_letter_va	வ	0xbb5	tamil_letter_va	వ	0xc35	telugu_letter_va	ವ	0xcb5	kannada_letter_va	വ	0xd35	malayalam_letter_va	ඵ	0xdb5	sinhala_letter_mahaapraana_payanna	
श	0x936	devanagari_letter_sha	শ	0x9b6	bengali_letter_sha	ਸ਼	0xa36	gurmukhi_letter_sha	શ	0xab6	gujarati_letter_sha	ଶ	0xb36	oriya_letter_sha	ஶ	0xbb6	tamil_letter_sha	శ	0xc36	telugu_letter_sha	ಶ	0xcb6	kannada_letter_sha	ശ	0xd36	malayalam_letter_sha	බ	0xdb6	sinhala_letter_alpapraana_bayanna	
ष	0x937	devanagari_letter_ssa	ষ	0x9b7	bengali_letter_ssa	਷	0xa37	False	ષ	0xab7	gujarati_letter_ssa	ଷ	0xb37	oriya_letter_ssa	ஷ	0xbb7	tamil_letter_ssa	ష	0xc37	telugu_letter_ssa	ಷ	0xcb7	kannada_letter_ssa	ഷ	0xd37	malayalam_letter_ssa	භ	0xdb7	sinhala_letter_mahaapraana_bayanna	
स	0x938	devanagari_letter_sa	স	0x9b8	bengali_letter_sa	ਸ	0xa38	gurmukhi_letter_sa	સ	0xab8	gujarati_letter_sa	ସ	0xb38	oriya_letter_sa	ஸ	0xbb8	tamil_letter_sa	స	0xc38	telugu_letter_sa	ಸ	0xcb8	kannada_letter_sa	സ	0xd38	malayalam_letter_sa	ම	0xdb8	sinhala_letter_mayanna	
ह	0x939	devanagari_letter_ha	হ	0x9b9	bengali_letter_ha	ਹ	0xa39	gurmukhi_letter_ha	હ	0xab9	gujarati_letter_ha	ହ	0xb39	oriya_letter_ha	ஹ	0xbb9	tamil_letter_ha	హ	0xc39	telugu_letter_ha	ಹ	0xcb9	kannada_letter_ha	ഹ	0xd39	malayalam_letter_ha	ඹ	0xdb9	sinhala_letter_amba_bayanna	
ऺ	0x93a	devanagari_vowel_sign_oe	঺	0x9ba	False	਺	0xa3a	False	઺	0xaba	False	଺	0xb3a	False	஺	0xbba	False	఺	0xc3a	False	಺	0xcba	False	ഺ	0xd3a	malayalam_letter_ttta	ය	0xdba	sinhala_letter_yayanna	
ऻ	0x93b	devanagari_vowel_sign_ooe	঻	0x9bb	False	਻	0xa3b	False	઻	0xabb	False	଻	0xb3b	False	஻	0xbbb	False	఻	0xc3b	False	಻	0xcbb	False	഻	0xd3b	malayalam_sign_vertical_bar_virama	ර	0xdbb	sinhala_letter_rayanna	
